player_id,matches_count,wins_count,easy_wins_count,defeated_count,easy_defeated_count,tied,score,player_name,email,country,last_login,level
DA1X9864,24.0,9.0,4.0,15.0,9.0,0.0,0.375,Trisha Kessler,trisha_kessler@gmail.com,Myanmar (Burma),2020-11-12,advanced
SZ0S2637,22.0,14.0,10.0,8.0,6.0,0.0,0.6363636363636364,Tangela Graver,tangela_g@gmail.com,Marshall Islands,2020-12-11,expert
QX0H6977,20.0,11.0,7.0,8.0,7.0,1.0,0.5666666666666667,Eliseo Ewald,eliseo_ewald@gmail.com,Italy,2020-12-20,expert
BK3W3327,14.0,11.0,6.0,3.0,3.0,0.0,0.7857142857142857,Bernardo Dieterich,dieterich.b@gmail.com,Cambodia,2020-10-11,intermediate
EG5I9716,22.0,12.0,9.0,10.0,7.0,0.0,0.5454545454545454,Maurice Wilcoxson,wilcoxson_m@gmail.com,Marshall Islands,2020-12-11,expert
FD2Y5227,23.0,15.0,10.0,8.0,6.0,0.0,0.6521739130434783,Orval Ramirez,ramirez.o@gmail.com,Cabo Verde,2020-12-30,expert
AE2A5525,22.0,11.0,7.0,11.0,7.0,0.0,0.5,Ivana Garett,garett.i@gmail.com,Serbia,2020-12-28,expert
RR3I5473,22.0,9.0,7.0,13.0,8.0,0.0,0.4090909090909091,Thao Rau,thao.rau@gmail.com,Equatorial Guinea,2020-10-14,advanced
IH1E6684,23.0,13.0,6.0,10.0,4.0,0.0,0.5652173913043478,Nubia Francisco,nubia_f@yahoo.com,Ireland,2020-11-19,expert
NI1W4446,23.0,14.0,7.0,9.0,5.0,0.0,0.6086956521739131,Mellisa Wyse,mellisa_w@gmail.com,Kiribati,2020-12-11,expert
XS7N7546,23.0,12.0,8.0,11.0,6.0,0.0,0.5217391304347826,Britany Zambrana,britany.zambrana@outlook.com,Oman,2020-10-12,expert
DI5Z8931,20.0,12.0,10.0,7.0,6.0,1.0,0.6166666666666667,Dylan Sakamoto,sakamoto.dylan@gmail.com,China,2020-12-20,expert
